org_base,org_derived,POS,derivation_process_prefix,derivation_process_suffix,base,derived,btd,dtb
делегат,делегатскый,N.ADJ,nan.nan,.ск,делегат,делегатск,,ск
делий,делийский,N.ADJ,,.ск,делий,делийск,,ск
делий,делийской,N.ADJ,nan.nan,.ск,делий,делийск,,ск
дета,детский,N.ADJ,,.ск,дет,детск,,ск
деты,детскый,N.ADJ,nan.nan,.ск,дет,детск,,ск
джунгар,джунгарский,N.ADJ,,.ск,джунгар,джунгарск,,ск
джунгар,джунгарскый,N.ADJ,nan.nan,.ск,джунгар,джунгарск,,ск
диджей,диджейский,N.ADJ,,.ск,диджей,диджейск,,ск
диджей,диджейской,N.ADJ,nan.nan,.ск,диджей,диджейск,,ск
дилетант,дилетантский,N.ADJ,,.ск,дилетант,дилетантск,,ск
дилетант,дилетантскый,N.ADJ,nan.nan,.ск,дилетант,дилетантск,,ск
диллеры,диллерский,N.ADJ,,.ск,диллер,диллерск,,ск
диллера,диллерский,N.ADJ,nan.nan,.ск,диллер,диллерск,,ск
динара,динарской,N.ADJ,,.ск,динар,динарск,,ск
динары,динарской,N.ADJ,nan.nan,.ск,динар,динарск,,ск
диссидент,диссидентский,N.ADJ,,.ск,диссидент,диссидентск,,ск
диссидент,диссидентской,N.ADJ,nan.nan,.ск,диссидент,диссидентск,,ск
доктор,докторский,N.ADJ,,.ск,доктор,докторск,,ск
докторы,докторскый,N.ADJ,nan.nan,.ск,доктор,докторск,,ск
донбас,донбасской,N.ADJ,,.ск,донбас,донбасск,,ск
донбас,донбасский,N.ADJ,nan.nan,.ск,донбас,донбасск,,ск
драгун,драгунский,N.ADJ,,.ск,драгун,драгунск,,ск
драгун,драгунскый,N.ADJ,nan.nan,.ск,драгун,драгунск,,ск
думать,думский,V.ADJ,,.ск,дум,думск,,ск
дума,думский,N.ADJ,nan.nan,.ск,дум,думск,,ск
евроазиат,евроазиатский,N.ADJ,,.ск,евроазиат,евроазиатск,,ск
евроазиат,евроазиатскый,N.ADJ,nan.nan,.ск,евроазиат,евроазиатск,,ск
едросов,едросовский,N.ADJ,,.ск,едросов,едросовск,,ск
едросов,едросовской,N.ADJ,nan.nan,.ск,едросов,едросовск,,ск
екатеринослав,екатеринославский,N.ADJ,,.ск,екатеринослав,екатеринославск,,ск
екатеринослав,екатеринославской,N.ADJ,nan.nan,.ск,екатеринослав,екатеринославск,,ск
еллин,еллинской,N.ADJ,,.ск,еллин,еллинск,,ск
еллины,еллинской,N.ADJ,nan.nan,.ск,еллин,еллинск,,ск
жандарм,жандармский,N.ADJ,,.ск,жандарм,жандармск,,ск
жандарм,жандармскый,N.ADJ,nan.nan,.ск,жандарм,жандармск,,ск
жидомасон,жидомасонской,N.ADJ,,.ск,жидомасон,жидомасонск,,ск
жидомасон,жидомасонский,N.ADJ,nan.nan,.ск,жидомасон,жидомасонск,,ск
жыдов,жыдовской,N.ADJ,,.ск,жыдов,жыдовск,,ск
жыдов,жыдовский,N.ADJ,nan.nan,.ск,жыдов,жыдовск,,ск
зеленоград,зеленоградской,N.ADJ,,.ск,зеленоград,зеленоградск,,ск
зеленоград,зеленоградский,N.ADJ,nan.nan,.ск,зеленоград,зеленоградск,,ск
зулус,зулусский,N.ADJ,,.ск,зулус,зулусск,,ск
зулус,зулусской,N.ADJ,nan.nan,.ск,зулус,зулусск,,ск
зюганов,зюгановской,N.ADJ,,.ск,зюганов,зюгановск,,ск
зюганов,зюгановский,N.ADJ,nan.nan,.ск,зюганов,зюгановск,,ск
иезуит,иезуитской,N.ADJ,,.ск,иезуит,иезуитск,,ск
иезуит,иезуитский,N.ADJ,nan.nan,.ск,иезуит,иезуитск,,ск
ижора,ижорский,N.ADJ,,.ск,ижор,ижорск,,ск
ижор,ижорскый,N.ADJ,nan.nan,.ск,ижор,ижорск,,ск
изувер,изуверский,N.ADJ,,.ск,изувер,изуверск,,ск
изувер,изуверской,N.ADJ,nan.nan,.ск,изувер,изуверск,,ск
индо-арий,индо-арийский,N.ADJ,,.ск,индо-арий,индо-арийск,,ск
индо-арий,индо-арийской,N.ADJ,nan.nan,.ск,индо-арий,индо-арийск,,ск
инкассатор,инкассаторский,N.ADJ,,.ск,инкассатор,инкассаторск,,ск
инкассатор,инкассаторскый,N.ADJ,nan.nan,.ск,инкассатор,инкассаторск,,ск
интендант,интендантский,N.ADJ,,.ск,интендант,интендантск,,ск
интендант,интендантскый,N.ADJ,nan.nan,.ск,интендант,интендантск,,ск
интервенционист,интервенционистский,N.ADJ,,.ск,интервенционист,интервенционистск,,ск
интервенционист,интервенционистской,N.ADJ,nan.nan,.ск,интервенционист,интервенционистск,,ск
иордан,иорданский,N.ADJ,,.ск,иордан,иорданск,,ск
иордан,иорданскый,N.ADJ,nan.nan,.ск,иордан,иорданск,,ск
исихаста,исихастский,N.ADJ,,.ск,исихаст,исихастск,,ск
исихасты,исихастский,N.ADJ,nan.nan,.ск,исихаст,исихастск,,ск
иудаист,иудаистский,N.ADJ,,.ск,иудаист,иудаистск,,ск
иудаист,иудаистской,N.ADJ,nan.nan,.ск,иудаист,иудаистск,,ск
иудео-хазары,иудео-хазарской,N.ADJ,,.ск,иудео-хазар,иудео-хазарск,,ск
иудео-хазар,иудео-хазарской,N.ADJ,nan.nan,.ск,иудео-хазар,иудео-хазарск,,ск
иудео-христиан,иудео-христианской,N.ADJ,,.ск,иудео-христиан,иудео-христианск,,ск
иудео-христиан,иудео-христианский,N.ADJ,nan.nan,.ск,иудео-христиан,иудео-христианск,,ск
иудеохристиане,иудеохристианский,N.ADJ,,.ск,иудеохристиан,иудеохристианск,,ск
иудеохристиан,иудеохристианской,N.ADJ,nan.nan,.ск,иудеохристиан,иудеохристианск,,ск
иудохристиан,иудохристианский,N.ADJ,,.ск,иудохристиан,иудохристианск,,ск
иудохристиан,иудохристианской,N.ADJ,nan.nan,.ск,иудохристиан,иудохристианск,,ск
юлиана,юлианской,N.ADJ,,.ск,юлиан,юлианск,,ск
юлианы,юлианский,N.ADJ,nan.nan,.ск,юлиан,юлианск,,ск
йорк,йоркской,N.ADJ,,.ск,йорк,йоркск,,ск
йорк,йоркский,N.ADJ,nan.nan,.ск,йорк,йоркск,,ск
кайнозой,кайнозойской,N.ADJ,,.ск,кайнозой,кайнозойск,,ск
кайнозой,кайнозойский,N.ADJ,nan.nan,.ск,кайнозой,кайнозойск,,ск
канары,канарской,N.ADJ,,.ск,канар,канарск,,ск
канары,канарский,N.ADJ,nan.nan,.ск,канар,канарск,,ск
кандидат,кандидатский,N.ADJ,,.ск,кандидат,кандидатск,,ск
кандидат,кандидатскый,N.ADJ,nan.nan,.ск,кандидат,кандидатск,,ск
канны,каннской,N.ADJ,,.ск,канн,каннск,,ск
канна,каннской,N.ADJ,nan.nan,.ск,канн,каннск,,ск
капать,капский,V.ADJ,,.ск,кап,капск,,ск
капа,капский,N.ADJ,nan.nan,.ск,кап,капск,,ск
карамзин,карамзинской,N.ADJ,,.ск,карамзин,карамзинск,,ск
карамзин,карамзинский,N.ADJ,nan.nan,.ск,карамзин,карамзинск,,ск
кармелит,кармелитский,N.ADJ,,.ск,кармелит,кармелитск,,ск
кармелиты,кармелитскый,N.ADJ,nan.nan,.ск,кармелит,кармелитск,,ск
карпаты,карпатской,N.ADJ,,.ск,карпат,карпатск,,ск
карпаты,карпатский,N.ADJ,nan.nan,.ск,карпат,карпатск,,ск
катар,катарский,N.ADJ,,.ск,катар,катарск,,ск
катар,катарской,N.ADJ,nan.nan,.ск,катар,катарск,,ск
квартирмейстер,квартирмейстерской,N.ADJ,,.ск,квартирмейстер,квартирмейстерск,,ск
квартирмейстер,квартирмейстерский,N.ADJ,nan.nan,.ск,квартирмейстер,квартирмейстерск,,ск
кизляр,кизлярской,N.ADJ,,.ск,кизляр,кизлярск,,ск
кизляр,кизлярский,N.ADJ,nan.nan,.ск,кизляр,кизлярск,,ск
ково,ковский,N.ADJ,,.ск,ков,ковск,,ск
ковы,ковский,N.ADJ,nan.nan,.ск,ков,ковск,,ск
киот,киотский,N.ADJ,,.ск,киот,киотск,,ск
киот,киотскый,N.ADJ,nan.nan,.ск,киот,киотск,,ск
киргиз,киргизской,N.ADJ,,.ск,киргиз,киргизск,,ск
киргиз,киргизский,N.ADJ,nan.nan,.ск,киргиз,киргизск,,ск
клезмеры,клезмерский,N.ADJ,,.ск,клезмер,клезмерск,,ск
клезмера,клезмерский,N.ADJ,nan.nan,.ск,клезмер,клезмерск,,ск
клиент,клиентский,N.ADJ,,.ск,клиент,клиентск,,ск
клиент,клиентскый,N.ADJ,nan.nan,.ск,клиент,клиентск,,ск
климов,климовский,N.ADJ,,.ск,климов,климовск,,ск
климов,климовскый,N.ADJ,nan.nan,.ск,климов,климовск,,ск
клины,клинской,N.ADJ,,.ск,клин,клинск,,ск
клин,клинский,N.ADJ,nan.nan,.ск,клин,клинск,,ск
колонизатор,колонизаторской,N.ADJ,,.ск,колонизатор,колонизаторск,,ск
колонизатор,колонизаторский,N.ADJ,nan.nan,.ск,колонизатор,колонизаторск,,ск
комендант,комендантский,N.ADJ,,.ск,комендант,комендантск,,ск
комендант,комендантскый,N.ADJ,nan.nan,.ск,комендант,комендантск,,ск
камо,камской,N.ADJ,,.ск,кам,камск,,ск
кам,камский,N.ADJ,nan.nan,.ск,кам,камск,,ск
кон,конский,N.ADJ,,.ск,кон,конск,,ск
кон,конскый,N.ADJ,nan.nan,.ск,кон,конск,,ск
конформист,конформистский,N.ADJ,,.ск,конформист,конформистск,,ск
конформист,конформистской,N.ADJ,nan.nan,.ск,конформист,конформистск,,ск
концептуалист,концептуалистский,N.ADJ,,.ск,концептуалист,концептуалистск,,ск
концептуалист,концептуалистской,N.ADJ,nan.nan,.ск,концептуалист,концептуалистск,,ск
перекопать,перекопский,V.ADJ,,.ск,перекоп,перекопск,,ск
перекоп,перекопский,N.ADJ,nan.nan,.ск,перекоп,перекопск,,ск
коптя,коптской,N.ADJ,,.ск,копт,коптск,,ск
копт,коптской,N.ADJ,nan.nan,.ск,копт,коптск,,ск
краснодар,краснодарский,N.ADJ,,.ск,краснодар,краснодарск,,ск
краснодар,краснодарской,N.ADJ,nan.nan,.ск,краснодар,краснодарск,,ск
кришнаит,кришнаитской,N.ADJ,,.ск,кришнаит,кришнаитск,,ск
кришнаит,кришнаитский,N.ADJ,nan.nan,.ск,кришнаит,кришнаитск,,ск
культуртрегер,культуртрегерской,N.ADJ,,.ск,культуртрегер,культуртрегерск,,ск
культуртрегер,культуртрегерский,N.ADJ,nan.nan,.ск,культуртрегер,культуртрегерск,,ск
кушит,кушитский,N.ADJ,,.ск,кушит,кушитск,,ск
кушит,кушитской,N.ADJ,nan.nan,.ск,кушит,кушитск,,ск
кыргыз,кыргызский,N.ADJ,,.ск,кыргыз,кыргызск,,ск
кыргыз,кыргызской,N.ADJ,nan.nan,.ск,кыргыз,кыргызск,,ск
кыштым,кыштымский,N.ADJ,,.ск,кыштым,кыштымск,,ск
кыштым,кыштымскый,N.ADJ,nan.nan,.ск,кыштым,кыштымск,,ск
кёльн,кёльнский,N.ADJ,,.ск,кёльн,кёльнск,,ск
кёльн,кёльнской,N.ADJ,nan.nan,.ск,кёльн,кёльнск,,ск
кёнигсберг,кёнигсбергский,N.ADJ,,.ск,кёнигсберг,кёнигсбергск,,ск
кёнигсберг,кёнигсбергской,N.ADJ,nan.nan,.ск,кёнигсберг,кёнигсбергск,,ск
лаборант,лаборантский,N.ADJ,,.ск,лаборант,лаборантск,,ск
лаборант,лаборантской,N.ADJ,nan.nan,.ск,лаборант,лаборантск,,ск
лавр,лаврской,N.ADJ,,.ск,лавр,лаврск,,ск
лавра,лаврский,N.ADJ,nan.nan,.ск,лавр,лаврск,,ск
лакать,лакский,V.ADJ,,.ск,лак,лакск,,ск
лак,лакский,N.ADJ,nan.nan,.ск,лак,лакск,,ск
латине,латинский,N.ADJ,,.ск,латин,латинск,,ск
латин,латинский,N.ADJ,nan.nan,.ск,латин,латинск,,ск
лебедев,лебедевской,N.ADJ,,.ск,лебедев,лебедевск,,ск
лебедев,лебедевский,N.ADJ,nan.nan,.ск,лебедев,лебедевск,,ск
либераст,либерастский,N.ADJ,,.ск,либераст,либерастск,,ск
либераста,либерастский,N.ADJ,nan.nan,.ск,либераст,либерастск,,ск
лилипут,лилипутский,N.ADJ,,.ск,лилипут,лилипутск,,ск
лилипут,лилипутской,N.ADJ,nan.nan,.ск,лилипут,лилипутск,,ск
лицей,лицейской,N.ADJ,,.ск,лицей,лицейск,,ск
лицей,лицейский,N.ADJ,nan.nan,.ск,лицей,лицейск,,ск
лужков,лужковской,N.ADJ,,.ск,лужков,лужковск,,ск
лужков,лужковский,N.ADJ,nan.nan,.ск,лужков,лужковск,,ск
людоед,людоедский,N.ADJ,,.ск,людоед,людоедск,,ск
людоед,людоедскый,N.ADJ,nan.nan,.ск,людоед,людоедск,,ск
люцерне,люцернской,N.ADJ,,.ск,люцерн,люцернск,,ск
люцерна,люцернской,N.ADJ,nan.nan,.ск,люцерн,люцернск,,ск
мазохист,мазохистский,N.ADJ,,.ск,мазохист,мазохистск,,ск
мазохист,мазохистской,N.ADJ,nan.nan,.ск,мазохист,мазохистск,,ск
майкоп,майкопский,N.ADJ,,.ск,майкоп,майкопск,,ск
майкоп,майкопской,N.ADJ,nan.nan,.ск,майкоп,майкопск,,ск
мандарин,мандаринский,N.ADJ,,.ск,мандарин,мандаринск,,ск
мандарин,мандаринскый,N.ADJ,nan.nan,.ск,мандарин,мандаринск,,ск
мана,манский,N.ADJ,,.ск,ман,манск,,ск
мана,манской,N.ADJ,nan.nan,.ск,ман,манск,,ск
манилов,маниловской,N.ADJ,,.ск,манилов,маниловск,,ск
манилов,маниловский,N.ADJ,nan.nan,.ск,манилов,маниловск,,ск
манчжура,манчжурской,N.ADJ,,.ск,манчжур,манчжурск,,ск
манчжура,манчжурский,N.ADJ,nan.nan,.ск,манчжур,манчжурск,,ск
маньчжур,маньчжурский,N.ADJ,,.ск,маньчжур,маньчжурск,,ск
маньчжур,маньчжурскый,N.ADJ,nan.nan,.ск,маньчжур,маньчжурск,,ск
марафон,марафонской,N.ADJ,,.ск,марафон,марафонск,,ск
марафон,марафонский,N.ADJ,nan.nan,.ск,марафон,марафонск,,ск
антимасон,антимасонской,N.ADJ,,.ск,антимасон,антимасонск,,ск
антимасон,антимасонский,N.ADJ,nan.nan,.ск,антимасон,антимасонск,,ск
масорет,масоретский,N.ADJ,,.ск,масорет,масоретск,,ск
масорет,масоретской,N.ADJ,nan.nan,.ск,масорет,масоретск,,ск
меценат,меценатской,N.ADJ,,.ск,меценат,меценатск,,ск
меценат,меценатский,N.ADJ,nan.nan,.ск,меценат,меценатск,,ск
миронов,мироновский,N.ADJ,,.ск,миронов,мироновск,,ск
миронов,мироновскый,N.ADJ,nan.nan,.ск,миронов,мироновск,,ск
модератор,модераторский,N.ADJ,,.ск,модератор,модераторск,,ск
модератор,модераторской,N.ADJ,nan.nan,.ск,модератор,модераторск,,ск
модернизатор,модернизаторской,N.ADJ,,.ск,модернизатор,модернизаторск,,ск
модернизатор,модернизаторский,N.ADJ,nan.nan,.ск,модернизатор,модернизаторск,,ск
молдовать,молдовский,V.ADJ,,.ск,молдов,молдовск,,ск
молдова,молдовский,N.ADJ,nan.nan,.ск,молдов,молдовск,,ск
мондиалисты,мондиалистский,N.ADJ,,.ск,мондиалист,мондиалистск,,ск
мондиалисты,мондиалистской,N.ADJ,nan.nan,.ск,мондиалист,мондиалистск,,ск
монофелиты,монофелитский,N.ADJ,,.ск,монофелит,монофелитск,,ск
монофелит,монофелитской,N.ADJ,nan.nan,.ск,монофелит,монофелитск,,ск
муслим,муслимский,N.ADJ,,.ск,муслим,муслимск,,ск
муслим,муслимскый,N.ADJ,nan.nan,.ск,муслим,муслимск,,ск
марково,марковский,N.ADJ,,.ск,марков,марковск,,ск
марков,марковский,N.ADJ,nan.nan,.ск,марков,марковск,,ск
национал-фашист,национал-фашистский,N.ADJ,,.ск,национал-фашист,национал-фашистск,,ск
национал-фашист,национал-фашистской,N.ADJ,nan.nan,.ск,национал-фашист,национал-фашистск,,ск
неоиндуист,неоиндуистский,N.ADJ,,.ск,неоиндуист,неоиндуистск,,ск
неоиндуист,неоиндуистской,N.ADJ,nan.nan,.ск,неоиндуист,неоиндуистск,,ск
неонацист,неонацистский,N.ADJ,,.ск,неонацист,неонацистск,,ск
неонацист,неонацистской,N.ADJ,nan.nan,.ск,неонацист,неонацистск,,ск
денисов,денисовской,N.ADJ,,.ск,денисов,денисовск,,ск
денисов,денисовский,N.ADJ,nan.nan,.ск,денисов,денисовск,,ск
новиков,новиковской,N.ADJ,,.ск,новиков,новиковск,,ск
новиков,новиковский,N.ADJ,nan.nan,.ск,новиков,новиковск,,ск
овет,оветский,N.ADJ,,.ск,овет,оветск,,ск
овета,оветский,N.ADJ,nan.nan,.ск,овет,оветск,,ск
ойрат,ойратский,N.ADJ,,.ск,ойрат,ойратск,,ск
ойраты,ойратский,N.ADJ,nan.nan,.ск,ойрат,ойратск,,ск
оксфорд,оксфордской,N.ADJ,,.ск,оксфорд,оксфордск,,ск
оксфорд,оксфордский,N.ADJ,nan.nan,.ск,оксфорд,оксфордск,,ск
опекун,опекунской,N.ADJ,,.ск,опекун,опекунск,,ск
опекун,опекунский,N.ADJ,nan.nan,.ск,опекун,опекунск,,ск
ориньяк,ориньякский,N.ADJ,,.ск,ориньяк,ориньякск,,ск
ориньяк,ориньякской,N.ADJ,nan.nan,.ск,ориньяк,ориньякск,,ск
орк,оркской,N.ADJ,,.ск,орк,оркск,,ск
орк,оркский,N.ADJ,nan.nan,.ск,орк,оркск,,ск
пакистан,пакистанский,N.ADJ,,.ск,пакистан,пакистанск,,ск
пакистан,пакистанской,N.ADJ,nan.nan,.ск,пакистан,пакистанск,,ск
палеозой,палеозойской,N.ADJ,,.ск,палеозой,палеозойск,,ск
палеозой,палеозойский,N.ADJ,nan.nan,.ск,палеозой,палеозойск,,ск
палестин,палестинский,N.ADJ,,.ск,палестин,палестинск,,ск
палестин,палестинскый,N.ADJ,nan.nan,.ск,палестин,палестинск,,ск
палех,палехской,N.ADJ,,.ск,палех,палехск,,ск
палех,палехский,N.ADJ,nan.nan,.ск,палех,палехск,,ск
панама,панамской,N.ADJ,,.ск,панам,панамск,,ск
панам,панамский,N.ADJ,nan.nan,.ск,панам,панамск,,ск
пантюркисты,пантюркистский,N.ADJ,,.ск,пантюркист,пантюркистск,,ск
пантюркисты,пантюркистской,N.ADJ,nan.nan,.ск,пантюркист,пантюркистск,,ск
папать,папский,V.ADJ,,.ск,пап,папск,,ск
папье,папский,N.ADJ,nan.nan,.ск,пап,папск,,ск
пастор,пасторский,N.ADJ,,.ск,пастор,пасторск,,ск
пастор,пасторскый,N.ADJ,nan.nan,.ск,пастор,пасторск,,ск
пина,пинский,N.ADJ,,.ск,пин,пинск,,ск
пины,пинский,N.ADJ,nan.nan,.ск,пин,пинск,,ск
петровать,петровской,V.ADJ,,.ск,петров,петровск,,ск
петров,петровский,N.ADJ,nan.nan,.ск,петров,петровск,,ск
петриков,петриковский,N.ADJ,,.ск,петриков,петриковск,,ск
петриков,петриковской,N.ADJ,nan.nan,.ск,петриков,петриковск,,ск
пигмей,пигмейский,N.ADJ,,.ск,пигмей,пигмейск,,ск
пигмей,пигмейскый,N.ADJ,nan.nan,.ск,пигмей,пигмейск,,ск
пиетист,пиетистский,N.ADJ,,.ск,пиетист,пиетистск,,ск
пиетист,пиетистскый,N.ADJ,nan.nan,.ск,пиетист,пиетистск,,ск
постструктуралист,постструктуралистский,N.ADJ,,.ск,постструктуралист,постструктуралистск,,ск
постструктуралист,постструктуралистской,N.ADJ,nan.nan,.ск,постструктуралист,постструктуралистск,,ск
прадедов,прадедовский,N.ADJ,,.ск,прадедов,прадедовск,,ск
прадедов,прадедовской,N.ADJ,nan.nan,.ск,прадедов,прадедовск,,ск
премьера,премьерский,N.ADJ,,.ск,премьер,премьерск,,ск
премьер,премьерской,N.ADJ,nan.nan,.ск,премьер,премьерск,,ск
провокатор,провокаторский,N.ADJ,,.ск,провокатор,провокаторск,,ск
провокатор,провокаторскый,N.ADJ,nan.nan,.ск,провокатор,провокаторск,,ск
прогрессор,прогрессорский,N.ADJ,,.ск,прогрессор,прогрессорск,,ск
прогрессора,прогрессорский,N.ADJ,nan.nan,.ск,прогрессор,прогрессорск,,ск
раменье,раменский,N.ADJ,,.ск,рамен,раменск,,ск
рамена,раменскый,N.ADJ,nan.nan,.ск,рамен,раменск,,ск
реконструктор,реконструкторской,N.ADJ,,.ск,реконструктор,реконструкторск,,ск
реконструктор,реконструкторский,N.ADJ,nan.nan,.ск,реконструктор,реконструкторск,,ск
релятивист,релятивистский,N.ADJ,,.ск,релятивист,релятивистск,,ск
релятивист,релятивистскый,N.ADJ,nan.nan,.ск,релятивист,релятивистск,,ск
реселлеры,реселлерский,N.ADJ,,.ск,реселлер,реселлерск,,ск
реселлера,реселлерский,N.ADJ,nan.nan,.ск,реселлер,реселлерск,,ск
родо,родский,N.ADJ,,.ск,род,родск,,ск
роды,родский,N.ADJ,nan.nan,.ск,род,родск,,ск
розенкрейцер,розенкрейцерской,N.ADJ,,.ск,розенкрейцер,розенкрейцерск,,ск
розенкрейцер,розенкрейцерский,N.ADJ,nan.nan,.ск,розенкрейцер,розенкрейцерск,,ск
арать,арский,V.ADJ,,.ск,ар,арск,,ск
ара,арскый,N.ADJ,nan.nan,.ск,ар,арск,,ск
рублёво,рублёвской,N.ADJ,,.ск,рублёв,рублёвск,,ск
рублёв,рублёвский,N.ADJ,nan.nan,.ск,рублёв,рублёвск,,ск
урать,урский,V.ADJ,,.ск,ур,урск,,ск
уры,урский,N.ADJ,nan.nan,.ск,ур,урск,,ск
салафит,салафитский,N.ADJ,,.ск,салафит,салафитск,,ск
салафита,салафитский,N.ADJ,nan.nan,.ск,салафит,салафитск,,ск
самосвят,самосвятский,N.ADJ,,.ск,самосвят,самосвятск,,ск
самосвяты,самосвятский,N.ADJ,nan.nan,.ск,самосвят,самосвятск,,ск
сасаниды,сасанидский,N.ADJ,,.ск,сасанид,сасанидск,,ск
сасаниды,сасанидской,N.ADJ,nan.nan,.ск,сасанид,сасанидск,,ск
сахалин,сахалинской,N.ADJ,,.ск,сахалин,сахалинск,,ск
сахалин,сахалинский,N.ADJ,nan.nan,.ск,сахалин,сахалинск,,ск
сельджук,сельджукской,N.ADJ,,.ск,сельджук,сельджукск,,ск
сельджук,сельджукский,N.ADJ,nan.nan,.ск,сельджук,сельджукск,,ск
сепаратист,сепаратистской,N.ADJ,,.ск,сепаратист,сепаратистск,,ск
сепаратист,сепаратистский,N.ADJ,nan.nan,.ск,сепаратист,сепаратистск,,ск
сердюковы,сердюковской,N.ADJ,,.ск,сердюков,сердюковск,,ск
сердюков,сердюковской,N.ADJ,nan.nan,.ск,сердюков,сердюковск,,ск
серов,серовский,N.ADJ,,.ск,серов,серовск,,ск
серов,серовской,N.ADJ,nan.nan,.ск,серов,серовск,,ск
серпухов,серпуховской,N.ADJ,,.ск,серпухов,серпуховск,,ск
серпухов,серпуховский,N.ADJ,nan.nan,.ск,серпухов,серпуховск,,ск
сикх,сикхский,N.ADJ,,.ск,сикх,сикхск,,ск
сикх,сикхской,N.ADJ,nan.nan,.ск,сикх,сикхск,,ск
синай,синайской,N.ADJ,,.ск,синай,синайск,,ск
синай,синайский,N.ADJ,nan.nan,.ск,синай,синайск,,ск
сион,сионский,N.ADJ,,.ск,сион,сионск,,ск
сиона,сионский,N.ADJ,nan.nan,.ск,сион,сионск,,ск
скандинав,скандинавской,N.ADJ,,.ск,скандинав,скандинавск,,ск
скандинав,скандинавский,N.ADJ,nan.nan,.ск,скандинав,скандинавск,,ск
скейтер,скейтерский,N.ADJ,,.ск,скейтер,скейтерск,,ск
скейтер,скейтерскый,N.ADJ,nan.nan,.ск,скейтер,скейтерск,,ск
скинхед,скинхедский,N.ADJ,,.ск,скинхед,скинхедск,,ск
скинхеда,скинхедский,N.ADJ,nan.nan,.ск,скинхед,скинхедск,,ск
склад,складской,N.ADJ,,.ск,склад,складск,,ск
склад,складский,N.ADJ,nan.nan,.ск,склад,складск,,ск
славяно-арий,славяно-арийской,N.ADJ,,.ск,славяно-арий,славяно-арийск,,ск
славяно-арий,славяно-арийский,N.ADJ,nan.nan,.ск,славяно-арий,славяно-арийск,,ск
словяне,словянской,N.ADJ,,.ск,словян,словянск,,ск
словян,словянской,N.ADJ,nan.nan,.ск,словян,словянск,,ск
солженицын,солженицынский,N.ADJ,,.ск,солженицын,солженицынск,,ск
солженицын,солженицынской,N.ADJ,nan.nan,.ск,солженицын,солженицынск,,ск
спамер,спамерской,N.ADJ,,.ск,спамер,спамерск,,ск
спамер,спамерский,N.ADJ,nan.nan,.ск,спамер,спамерск,,ск
спаммер,спаммерский,N.ADJ,,.ск,спаммер,спаммерск,,ск
спаммеры,спаммерский,N.ADJ,nan.nan,.ск,спаммер,спаммерск,,ск
спася,спасский,N.ADJ,,.ск,спас,спасск,,ск
спас,спасскый,N.ADJ,nan.nan,.ск,спас,спасск,,ск
статья,статский,N.ADJ,,.ск,стат,статск,,ск
статы,статскый,N.ADJ,nan.nan,.ск,стат,статск,,ск
сталине,сталинский,N.ADJ,,.ск,сталин,сталинск,,ск
сталины,сталинский,N.ADJ,nan.nan,.ск,сталин,сталинск,,ск
старикова,стариковский,N.ADJ,,.ск,стариков,стариковск,,ск
стариков,стариковский,N.ADJ,nan.nan,.ск,стариков,стариковск,,ск
старорус,старорусской,N.ADJ,,.ск,старорус,старорусск,,ск
старорус,старорусский,N.ADJ,nan.nan,.ск,старорус,старорусск,,ск
стартапер,стартаперской,N.ADJ,,.ск,стартапер,стартаперск,,ск
стартапер,стартаперский,N.ADJ,nan.nan,.ск,стартапер,стартаперск,,ск
субъективист,субъективистский,N.ADJ,,.ск,субъективист,субъективистск,,ск
субъективист,субъективистской,N.ADJ,nan.nan,.ск,субъективист,субъективистск,,ск
суна,сунский,N.ADJ,,.ск,сун,сунск,,ск
сун,сунский,N.ADJ,nan.nan,.ск,сун,сунск,,ск
сургут,сургутской,N.ADJ,,.ск,сургут,сургутск,,ск
сургут,сургутский,N.ADJ,nan.nan,.ск,сургут,сургутск,,ск
суфий,суфийской,N.ADJ,,.ск,суфий,суфийск,,ск
суфий,суфийский,N.ADJ,nan.nan,.ск,суфий,суфийск,,ск
табасаран,табасаранский,N.ADJ,,.ск,табасаран,табасаранск,,ск
табасаран,табасаранскый,N.ADJ,nan.nan,.ск,табасаран,табасаранск,,ск
тавро,таврский,N.ADJ,,.ск,тавр,таврск,,ск
тавр,таврской,N.ADJ,nan.nan,.ск,тавр,таврск,,ск
таджик,таджикский,N.ADJ,,.ск,таджик,таджикск,,ск
таджик,таджикскый,N.ADJ,nan.nan,.ск,таджик,таджикск,,ск
тан,танский,N.ADJ,,.ск,тан,танск,,ск
таны,танскый,N.ADJ,nan.nan,.ск,тан,танск,,ск
татаро-башкир,татаро-башкирской,N.ADJ,,.ск,татаро-башкир,татаро-башкирск,,ск
татаро-башкир,татаро-башкирский,N.ADJ,nan.nan,.ск,татаро-башкир,татаро-башкирск,,ск
тевтон,тевтонский,N.ADJ,,.ск,тевтон,тевтонск,,ск
тевтон,тевтонскый,N.ADJ,nan.nan,.ск,тевтон,тевтонск,,ск
техас,техасский,N.ADJ,,.ск,техас,техасск,,ск
техас,техасской,N.ADJ,nan.nan,.ск,техас,техасск,,ск
тиры,тирский,N.ADJ,,.ск,тир,тирск,,ск
тир,тирскый,N.ADJ,nan.nan,.ск,тир,тирск,,ск
товарищь,товарищеский,N.ADJ,,.ск,товарищ,товарищеск,,ск
