org_base	org_derived	POS	derivation_prefix,deravation_suffix
кастрюля	кастрюльный	N.ADJ	,.ьн
касть	кадь	V.N	,с.д
кадь	кадый	N.ADJ	
кадый	када	ADJ.N	
када	кадить	N.V	
кадать	кадиш	V.N	,.иш
кадить	кадка	V.N	,.к
кадить	кадий	V.N	
кадить	кадило	V.N	,.ил
кадить	кадушка	V.N	,.ушк
кадить	кадины	V.N	,.ин
каждать	каждый	V.ADJ	
каждый	каждить	ADJ.V	
каждый	кажды	ADJ.N	
каждый	каждо	ADJ.ADV	,
каждать	кажда	V.N	
каждать	каждение	V.N	,.ни
кадый	када	ADJ.ADV	,.а
касть	каска	V.N	,.к
касть	кастой	V.ADJ	,.т
кастой	кастеть	ADJ.V	
кастеть	касто	V.N	
касто	касетный	N.ADJ	,.н
касетный	касет	ADJ.N	,н.
кастеть	кастет	V.N	,.т
касьянов	касьяновый	N.ADJ	
касьяновский	касьяновец	ADJ.N	,ск.ц
катаболический	катаболизм	ADJ.N	,ческ.зм
катаеться	катайный	V.ADJ	,.йн
катакана	катакана	V.N	,а.
катаклизм	катаклизмический	N.ADJ	,.ическ
катако	катаканый	N.ADJ	,.ан
катако	катакать	N.V	
катакомба	катакомбный	N.ADJ	,.н
катакомбный	катакомбник	ADJ.N	,.ик
катализ	каталитический	N.ADJ	,з.тическ
каталитической	каталитически	ADJ.ADV	,.и
каталонский	каталонец	ADJ.N	,ск.ц
каталы	каталать	N.V	
каталать	катальный	V.ADJ	,.ьн
катальный	катальщик	ADJ.N	,н.щик
каталы	каталый	N.ADJ	
каталый	каталка	ADJ.N	,.к
катамарать	катамаранный	V.ADJ	,.анн
катамаранный	катамаран	ADJ.N	,н.
катание	закатанной	N.ADJ	.за,и.н
катанный	катана	ADJ.N	,н.
катапульта	катапультный	N.ADJ	,.н
катапультный	катапультировать	ADJ.V	,н.иров
катапультироваться	катапультирование	V.N	,.ани
катапультировать	катапультируемый	V.ADJ	,в.уем
катаракте	катарактальный	N.ADJ	,.альн
катарской	катар	ADJ.N	,ск.
катар	катарский	N.ADJ	,.ск
катарский	катаризм	ADJ.N	,ск.изм
катарской	катарской	ADJ.N	
катастрофический	катастрофически	ADJ.ADV	,.и
катастрофичний	катастрофизм	ADJ.N	,чн.зм
катастрофичный	катастрофично	ADJ.ADV	,
катастрофичый	катастрофичность	ADJ.N	,.ност
кататонической	кататонической	ADJ.N	
кататоник	кататонический	N.ADJ	,.еск
кататься	каткий	V.ADJ	,.к
каткий	закатить	ADJ.V	.за,к.
закачать	закачый	V.ADJ	
закатить	закатистый	V.ADJ	,.ист
каткий	катыш	ADJ.N	,к.ыш
кататься	катун	V.N	,.ун
катун	катунить	N.V	
катафатической	катафатически	ADJ.ADV	,.и
катафорез	катафорезный	N.ADJ	,.н
кате	катаный	N.ADJ	,.ан
катаный	катанка	ADJ.N	,.к
кате	катать	N.V	
накатывать	накат	V.N	,ыв.
накат	наковать	N.V	,ат.в
наковать	наковалый	V.ADJ	,.ал
накат	накатать	N.V	
накатать	накатанность	V.N	,.анност
накатать	накатаный	V.ADJ	,.ан
накатать	накатанный	V.ADJ	,.анн
накат	накатный	N.ADJ	,.н
накат	накатом	N.ADV	,.м
накатывать	накатывание	V.N	,.ани
откататься	откатка	V.N	,.к
откатка	откаточный	N.ADJ	,.н
катать	катушка	V.N	,.ушк
катать	каталь	V.N	,.ал
каталь	катализировать	N.V	,.изиров
каталь	каталический	N.ADJ	,.ическ
каталический	каталист	ADJ.N	,ческ.ст
укатываться	укатка	V.N	,ыв.к
катать	вокат	V.N	.во,
вокат	вокальный	N.ADJ	,т.льн
вокальный	вокально	ADJ.ADV	,
катер	катерный	N.ADJ	,.н
катя	выкатить	N.V	.вы,
выкатиться	выкатка	V.N	,.к
выкачивать	выкачивый	V.ADJ	
выкачивать	выкачивание	V.N	,.ани
выкатить	навыкат	V.ADV	.на,
кат	перекатить	N.V	.пере,
перекатить	перекати	V.N	
перекати	перекатать	N.V	
перекати	перекатистый	N.ADJ	,.ист
перекатиться	перекаченный	V.ADJ	,т.ченн
кат	катить	N.V	
накатить	накатка	V.N	,.к
накатить	накаченный	V.ADJ	,т.ченн
накаченный	накачены	ADJ.N	,н.
раскачать	раскачка	V.N	,.к
раскачка	враскачку	N.ADV	.в,.у
откатать	откатый	V.ADJ	
раскатывать	раскат	V.N	,ыв.
раскат	раскатиться	N.V	
раскатывать	раскатный	V.ADJ	,ыв.н
като	катый	N.ADJ	
катый	катиться	ADJ.V	
покатиться	покатистый	V.ADJ	,.ист
покатиться	покатит	V.N	,.ит
выкататься	выкатчик	V.N	,.чик
катиться	катуха	V.N	,.ух
катый	като	ADJ.ADV	,
катый	катюша	ADJ.N	,.юш
кат	укатить	N.V	.у,
укачивать	укачивание	V.N	,.ани
кат	раскатить	N.V	.рас,
раскатить	раскатчик	V.N	,.чик
прокат	прокатиться	N.V	
прокатиться	прокатит	V.N	,.ит
прокатиться	прокати	V.N	
прокати	прокатить	N.V	
прокатывать	прокатываемый	V.ADJ	,.аем
прокат	прокатный	N.ADJ	,.н
кат	прикатить	N.V	.при,
откат	откатиться	N.V	
кат	покатный	N.ADJ	.по,.н
катя	откатный	N.ADJ	.от,.н
кате	скатить	N.V	.с,
скатить	скаченный	V.ADJ	,т.ченн
категори	категориальный	N.ADJ	,.иальн
категориальный	категориальность	ADJ.N	,.ст
категориальный	категориально	ADJ.ADV	,
категори	категоричный	N.ADJ	,.ичн
категоричный	категоричность	ADJ.N	,.ст
категория	категорированный	N.ADJ	,.рованн
категорированный	категорирование	ADJ.N	,н.и
категория	категорийный	N.ADJ	,.йн
категория	категорический	N.ADJ	,.ческ
категорический	категорически	ADJ.ADV	,.и
катетер	катетерный	N.ADJ	,.н
катехизатор	катехизаторский	N.ADJ	,.ск
катехизатор	катехизаторской	N.ADJ	,.ск
катехизаторской	катехизаторской	ADJ.N	
катехизация	катехизировать	N.V	,аци.иров
катехина	катехиновый	N.ADJ	,.в
катехин	катехиный	N.ADJ	
катехоламиновый	катехоламин	ADJ.N	,в.
катионный	катион	ADJ.N	,н.
катодный	катод	ADJ.N	,н.
католить	катол	V.N	
катол	католический	N.ADJ	,.ическ
католический	католически	ADJ.ADV	,.и
католическими	католическим	V.N	,и.
католическый	католичество	ADJ.N	,к.тв
каторжный	каторжник	ADJ.N	,.ик
каторжный	каторжница	ADJ.N	,.иц
каторый	каторы	ADJ.N	
катострофа	катострофический	N.ADJ	,.ическ
катушечный	катушечка	ADJ.N	,н.к
катыни	катыни	N.ADV	,.и
катынской	катынской	ADJ.N	
отвыкать	отвычка	V.N	,.к
навыкать	навыкый	V.ADJ	
кавать	кавой	V.ADJ	
кавой	кава	ADJ.N	
кавер	каверный	N.ADJ	,.н
кава	кавайный	N.ADJ	,.айн
кавой	каво	ADJ.ADV	,
кавать	кавай	V.N	,.ай
обыскаться	обысканный	V.ADJ	,.анн
обысканный	обысканы	ADJ.N	,н.
искаться	искат	V.N	,.ат
искаться	искательство	V.N	,.ательств
каться	киш	V.N	,.иш
киш	кишеть	N.V	
каться	кавун	V.N	,.авун
кать	кый	V.ADJ	
нуть	нут	V.N	,.т
нут	нутовый	N.ADJ	,.в
нутовый	нутка	ADJ.N	,в.к
подъять	подъ	V.N	
подъять	подъём	V.N	,.ём
подъять	подъятый	V.ADJ	,.ят
нуть	внуть	V.N	.в,.т
нуть	вну	V.N	.в,
катька	катькин	N.ADJ	,.ин
кауда	каудальный	N.ADJ	,.альн
каудальный	каудально	ADJ.ADV	,
каурать	каурка	V.N	,.к
каустическый	каустик	ADJ.N	,еск.
каутскианский	каутскианство	ADJ.N	,к.тв
каутскианской	каутскианец	ADJ.N	,ск.ц
кауть	кау	V.N	
кау	искаить	N.V	.ис,у.
каучуконос	каучуконосный	N.ADJ	,.н
кафир	кафирской	N.ADJ	,.ск
кафолической	кафолической	ADJ.N	
кафр	кафрский	N.ADJ	,.ск
каффской	каффа	ADJ.N	,ск.
кахети	кахо	V.N	,
кахо	кашеть	N.V	,
кахетинской	кахетинец	ADJ.N	,ск.ц
кацапи	кацапый	N.ADJ	
качан	качановской	N.ADJ	,.вск
качаны	накачанный	N.ADJ	.на,.н
накачанный	накачаны	ADJ.N	,н.
качаться	качкий	V.ADJ	,.к
качнуться	качок	V.N	,ну.к
покатываться	покатывание	V.N	,.ани
перекатываться	перекатывание	V.N	,.ани
качествеить	качественый	V.ADJ	,.н
качественний	качественне	ADJ.ADV	,
качественний	качественно	ADJ.ADV	,
каша	кашать	N.V	
кашать	кашка	V.N	,.к
перекашивать	перекашивание	V.N	,.ани
кашать	кашевый	V.ADJ	,.в
кашеварня	кашеварный	N.ADJ	
кашеварный	кашевар	ADJ.N	,н.
кашевар	кашеварить	N.V	
кашемировый	кашемир	ADJ.N	,в.
кашер	кашерный	N.ADJ	,.н
кашерный	кашерно	ADJ.ADV	,
кашинский	кашин	ADJ.N	,ск.
каширский	кашировать	ADJ.V	,ск.в
кашировать	кашированный	V.ADJ	,.анн
кашированный	каширование	ADJ.N	,н.и
кашлить	кашлевый	V.ADJ	,.в
кашлять	кашляние	V.N	,.яни
кашлять	кашль	V.N	
кашлять	кашлевой	V.ADJ	,.в
кашлять	кашель	V.N	,
покашливать	покашливание	V.N	,.ани
каштановый	каштан	ADJ.N	,в.
кашый	кашить	ADJ.V	
кащеть	кащей	V.N	,.й
каютка	каютный	N.ADJ	,к.н
каяться	каливый	V.ADJ	,я.лив
каяться	каёмка	V.N	,я.ёмк
квадратичный	квадратично	ADJ.ADV	,
квадрать	квадровый	V.ADJ	,.в
квадрат	квадратический	N.ADJ	,.ическ
квадратический	квадратик	ADJ.N	,еск.
квадрат	квадратный	N.ADJ	,.н
квадратный	квадратно	ADJ.ADV	,
квазигосударство	квазигосударственный	N.ADJ	,.нн
квазинаука	квазинаучный	N.ADJ	,.н
квазирелигия	квазирелигиозный	N.ADJ	,.зн
квазирынок	квазирыночный	N.ADJ	,.н
квалифицированна	квалифицированнать	N.V	
квалифицированнать	квалифицированный	V.ADJ	
квалифицированний	квалифицированно	ADJ.ADV	,
квалифицировано	квалифицировано	N.ADV	,
квалифицировано	квалифицированый	N.ADJ	
квалифицировать	квалификация	V.N	,циров.каци
квалификация	квалификационный	N.ADJ	,.нн
предквалификация	предквалификационный	N.ADJ	,.нн
квалифицироваться	квалификатор	V.N	,циров.катор
квалифицироваться	квалифицированность	V.N	,.анност
квалифицируать	квалифицируемый	V.ADJ	,.м
квалифицирующий	квалифицирующить	ADJ.V	
квамоклить	квамоклит	V.N	,.ит
квантифицировать	квантификация	V.N	,циров.каци
квантово	квантово	N.ADV	,
квар	квареть	N.V	
кварианский	кварианец	ADJ.N	,ск.ц
кварил	квариловый	N.ADJ	,.в
кварк	кварковый	N.ADJ	,.в
квартал	поквартальный	N.ADJ	.по,.ьн
квартать	кварта	V.N	
кварто	квартировать	N.V	,.иров
квартировать	квартирка	V.N	,в.к
квартирка	квартирный	N.ADJ	,к.н
квартирный	квартира	ADJ.N	,н.
квартира	приквартирный	N.ADJ	.при,.н
квартира	внутриквартирный	N.ADJ	.внутри,.н
квартирьер	квартирьерский	N.ADJ	,.ск
квартира	бесквартирный	N.ADJ	.бес,.н
квартироваться	квартер	V.N	,иров.р
квартать	квартой	V.ADJ	
кварти	квартальный	N.ADJ	,.альн
квартальный	квартально	ADJ.ADV	,
квартири	поквартирный	N.ADJ	.по,.н
квартирмейстерский	квартирмейстер	ADJ.N	,ск.
квартирмейстер	квартирмейстерской	N.ADJ	,.ск
квартплатый	квартплата	ADJ.N	
кварц	кварцевать	N.V	,.в
кварцевать	кварцеватель	V.N	,.ател
кварц	кварцевый	N.ADJ	,.в
кварцитовый	кварцит	ADJ.N	,в.
квасить	квасный	V.ADJ	,.н
квасный	расквасить	ADJ.V	.рас,н.
расквасить	расквашенный	V.ADJ	,с.шенн
квасный	кваситься	ADJ.V	,н.
кваситься	квасной	V.ADJ	,.н
квасной	квас	ADJ.N	,н.
квасный	заквасить	ADJ.V	.за,н.
заквасить	заквас	V.N	
заквашивать	заквашивание	V.N	,.ани
заквасить	заквашенный	V.ADJ	,с.шенн
квасный	сквасить	ADJ.V	.с,н.
квасить	квасок	V.N	,.к
квасить	квашение	V.N	,с.шени
квашение	квашенной	N.ADJ	,и.н
квасить	квашеный	V.ADJ	,с.шен
квасовар	квасоварный	N.ADJ	,.н
квать	квон	V.N	,.н
квашня	заквашенной	N.ADJ	.за,.н
квебекский	квебекец	ADJ.N	,ск.ц
квелть	приквел	V.N	.при,
квесте	квестовой	N.ADJ	,.в
квестима	квестимый	N.ADJ	
квест	квестить	N.V	
квест	квестовый	N.ADJ	,.в
квесты	квестый	N.ADJ	
квиддитч	квиддитчный	N.ADJ	,.н
квинтать	квинтой	V.ADJ	
квинтой	квинта	ADJ.N	
квирать	квира	V.N	
квитанция	квитанционный	N.ADJ	,.нн
квитаться	квиток	V.N	,.к
квотировать	квотёр	V.N	,иров.ёр
квт	квотный	N.ADJ	,.н
кебаб	кебабный	N.ADJ	,.н
кевларовый	кевлар	ADJ.N	,в.
кеги	кеги	V.N	,и.
скеги	скеги	V.N	,и.
скеги	скег	V.N	,и.
кегов	кеговый	N.ADJ	
кедить	кед	V.N	
кедр	кедровый	N.ADJ	,.в
кедровый	кедровка	ADJ.N	,.к
кедровый	кедровник	ADJ.N	,.ник
кедрово-широколиство	кедрово-широколиственный	N.ADJ	,.нн
кейкить	кейк	V.N	
кейнсианской	кейнсианец	ADJ.N	,ск.ц
кейнсианской	кейнсианство	ADJ.N	,к.тв
кейпеть	кейп	V.N	
кейтеринг	кейтеринговый	N.ADJ	,.в
кейть	кейв	V.N	,.в
кейть	кейт	V.N	,.т
кекть	кек	V.N	
кек	вычить	N.V	
кле	клеить	N.V	,
переклеить	переклеенный	V.ADJ	,.нн
клеить	клеевый	V.ADJ	,.в
кле	клеиться	N.V	,
расклеиваться	расклеивание	V.N	,.ани
клеиться	клеенный	V.ADJ	,.нн
кле	расклеить	N.V	.рас,
расклеить	расклеенный	V.ADJ	,.нн
кле	подклеить	N.V	.под,
подклеить	подклейка	V.N	,.йк
кле	поклеить	N.V	.по,
поклеить	поклеенный	V.ADJ	,.нн
поклеить	поклейка	V.N	,.йк
кле	приклееный	N.ADJ	.при,.ен
покель	поклевать	N.V	,.ев
келья	келить	N.V	
кел	клить	N.V	ке.к,
клить	клей	V.N	,.й
расклей	расклеый	N.ADJ	,й.
клейковина	клейковиной	N.ADJ	
клейка	клейкий	N.ADJ	
клейкий	клейкость	ADJ.N	,.ст
клей	выклеить	N.V	.вы,й.
клей	обклеить	N.V	.об,й.
обклеить	обклейка	V.N	,.йк
поклать	поклый	V.ADJ	
клить	приклей	V.N	.при,.й
приклей	приклеиться	N.V	,й.
приклеиваться	приклеивание	V.N	,.ани
келей	келейный	N.ADJ	,.н
келейный	келейно	ADJ.ADV	,
келейный	келейность	ADJ.N	,.ст
келидскый	келидец	ADJ.N	,ск.ц
келлоида	келлоидный	N.ADJ	,.н
келть	прикол	V.N	ке.прико,
прикол	приклеть	N.V	,
келть	укол	V.N	ке.уко,
укол	уклеть	N.V	,
кельмой	кельма	ADJ.N	
кельт	кельтский	N.ADJ	,.ск
кемализм	кемалистский	N.ADJ	,зм.стск
кемалистский	кемалисты	ADJ.N	,ск.
кемарить	комариный	V.ADJ	ке.ко,.ин
кембриджский	кембриджец	ADJ.N	,ск.ц
кембрия	кембрийский	N.ADJ	,.йск
кемь	кемать	N.V	
кемь	кемский	N.ADJ	,.ск
кенгурятникый	кенгурятник	ADJ.N	
кенийской	кениец	ADJ.N	,йск.ц
кен	кенийский	N.ADJ	,.ийск
кено	кнеть	N.V	ке.к,
кнеть	кнель	V.N	,.л
кенозерской	кенозеры	ADJ.N	,ск.
кенона	кеннеть	N.V	,
кент	кентский	N.ADJ	,.ск
керамзитобетонный	керамзитобетон	ADJ.N	,н.
керамзитовый	керамзит	ADJ.N	,в.
керамогранить	керамогранит	V.N	,.ит
керамогранить	керамогранитный	V.ADJ	,.итн
керамый	керамика	ADJ.N	,.ик
керамика	керамический	N.ADJ	,.еск
керамический	керамист	ADJ.N	,ческ.ст
кератин	кератиновый	N.ADJ	,.в
кератин	кератиный	N.ADJ	
кератоконъюнктивить	кератоконъюнктивит	V.N	,.ит
кератолитическый	кератолитик	ADJ.N	,еск.
кератопластика	кератопластический	N.ADJ	,.еск
кератый	кератить	ADJ.V	
керем	кермить	N.V	,
кери	кери	V.N	,и.
кери	покерный	N.ADJ	.по,.н
керма	кермать	N.V	
кермать	корма	V.N	ке.ко,
прикорм	прикормиться	N.V	
прикормиться	прикормка	V.N	,.к
прикормка	прикормочный	N.ADJ	,.н
прикорм	прикормить	N.V	
корм	кормный	N.ADJ	,.н
кормный	кормить	ADJ.V	,н.
кормить	кормовой	V.ADJ	,.в
кормить	кормило	V.N	,.ил
кормило	кормиловский	N.ADJ	,.вск
кормить	кормленый	V.ADJ	,.лен
кормленый	кормленщик	ADJ.N	,.щик
откормиться	откормыш	V.N	,.ыш
откармливаться	откармливание	V.N	,.ани
кормный	раскормить	ADJ.V	.рас,н.
раскармливать	раскармливание	V.N	,.ани
кормный	подкормить	ADJ.V	.под,н.
подкормить	подкорм	V.N	
корма	кормленный	N.ADJ	,.ленн
корма	обкормить	N.V	.об,
обкормить	обкорм	V.N	
корма	подкормленный	N.ADJ	.под,.ленн
керосиновый	керосин	ADJ.N	,в.
кероть	кер	V.N	,
кер	крить	N.V	ке.к,
крить	крой	V.N	
крой	кроить	N.V	,
прикроять	прикройка	V.N	,.йк
кроить	кроки	V.N	,.к
крой	кроать	N.V	,
прикроать	прикро	V.N	,
выкраивать	выкраивание	V.N	,.ани
кроать	кроат	V.N	,.ат
крой	выкроить	N.V	.вы,
выкроить	выкройка	V.N	,.йк
крой	подкроить	N.V	.под,
крой	кроем	N.ADV	,.ем
крить	крость	V.N	,.ст
крить	крон	V.N	,.н
кер	керить	N.V	
керить	керки	V.N	,.к
кер	керный	N.ADJ	,.н
керный	кернеть	ADJ.V	
керть	укор	V.N	ке.уко,
укор	укорять	N.V	
укорять	укорять	V.N	,.ят
укорять	укоряемый	V.ADJ	,.яем
укорять	укоризна	V.N	,.изн
укоризна	неукоризненный	N.ADJ	.не,.нн
укоризна	безукоризный	N.ADJ	.без,
керчь	керченский	N.ADJ	,.нск
кесарь	кесарев	N.ADJ	,.в
кесарь	кесаревый	N.ADJ	,.в
кесарь	кесарийский	N.ADJ	,.ийск
кесарь	кесарить	N.V	
кеси	кес	V.N	,и.
кса	ксанский	N.ADJ	,.анск
ксанский	ксана	ADJ.N	,ск.
кса	ксать	N.V	
кессонный	кессон	ADJ.N	,н.
кета	кевать	N.V	,т.в
ректор	ректорский	N.ADJ	,.ск
ректор	ректорской	N.ADJ	,.ск
кетамин	кетаминовый	N.ADJ	,.в
кетгутовый	кетгут	ADJ.N	,в.
кетов	кетовый	N.ADJ	
кетон	кетонать	N.V	
кетон	кетоновый	N.ADJ	,.в
кетопрофен	кетопрофен	ADJ.N	
кеть	кетский	N.ADJ	,.ск
кефать	кефаль	V.N	,.ал
кефеть	кеф	V.N	
кефир	кефирный	N.ADJ	,.н
кефирный	кефирно	ADJ.ADV	,
кешировать	кеш	V.N	,иров.
кешировать	кеширование	V.N	,.ани
кеширование	кешированный	N.ADJ	,и.н
кешироваться	кешер	V.N	,иров.р
киббуц	киббуцный	N.ADJ	,.н
киббуцный	киббуцник	ADJ.N	,.ик
киббуцный	киббуца	ADJ.N	,н.
кибервойне	кибервойный	N.ADJ	
кибернетический	кибернетика	ADJ.N	,еск.
кибернетической	кибернетически	ADJ.ADV	,.и
кибернетической	кибернетической	ADJ.N	
киберпанк	киберпанковский	N.ADJ	,.вск
киберпанк	киберпанковской	N.ADJ	,.вск
кибершпионской	кибершпион	ADJ.N	,ск.
кивни	кивнать	N.V	
кига	кигать	N.V	
кига	кижский	N.ADJ	,.ск
кидалы	кидальный	N.ADJ	,.ьн
кидале	кидаловый	N.ADJ	,.в
кидаловый	кидаловы	ADJ.N	
кидаловый	кидалово	ADJ.N	
кид	кидать	N.V	
кинуться	кинут	V.N	,.т
закинут	закинутый	N.ADJ	
выкидываться	выкидон	V.N	,ыв.н
кидаться	накидку	V.ADV	.на,.ку
выкидывать	выкидывание	V.N	,.ани
закинуть	закинутой	V.ADJ	,.т
закинутой	закинутой	ADJ.N	
закидывать	закидон	V.N	,ыв.н
закидывать	закидывание	V.N	,.ани
закидываться	закидка	V.N	,ыв.к
перекидываться	перекидной	V.ADJ	,ыв.н
перекинуть	перекинутый	V.ADJ	,.т
перекинутый	перекинут	ADJ.N	
покидать	покидание	V.N	,.ани
кидать	кидание	V.N	,.ани
кидать	кидалый	V.ADJ	,.ал
кидка	откидной	N.ADJ	.от,к.н
откидной	откида	ADJ.N	,н.
кидка	прикидочный	N.ADJ	.при,.н
кидка	подкидной	N.ADJ	.под,к.н
киды	накидной	N.ADJ	.на,.н
киевскать	киевскый	V.ADJ	
киевского	киевского	V.N	,
кизиловый	кизил	ADJ.N	,в.
кизить	киз	V.N	
киз	кизеть	N.V	
кизить	кизильник	V.N	,.ильник
кизлярский	кизляр	ADJ.N	,ск.
кизляр	кизлярской	N.ADJ	,.ск
кий	киев	N.ADJ	,.иев
кий	киевский	N.ADJ	,.иевск
киевский	киевски	ADJ.ADV	,.и
кий	кить	N.V	
кить	чистый	V.ADJ	
чистый	чистить	ADJ.V	
чистить	чистия	V.N	,.и
чистия	очиститься	N.V	.о,и.
очиститься	очистительный	V.ADJ	,.ительн
чистия	прочистить	N.V	.про,и.
чистия	подчистить	N.V	.под,и.
расчитывать	расчитывый	V.ADJ	
чистить	чистильный	V.ADJ	,.ильн
чистильный	чистильщик	ADJ.N	,н.щик
обчистить	обчистка	V.N	,.к
чистить	чистилище	V.N	,.илищ
чистилище	чистилищный	N.ADJ	,.н
чистый	начисто	ADJ.ADV	.на,
чистый	дочиста	ADJ.ADV	.до,.а
чистый	чистота	ADJ.N	,.т
чистота	начистоту	N.ADV	.на,.у
кить	кач	V.N	,.ач
раскинуть	раскину	V.N	
раскинуть	раскинутый	V.ADJ	,.т
кинуть	кинуный	V.ADJ	,.н
откинуть	откинут	V.N	,.т
откинут	откинутый	N.ADJ	
подкинуть	подкинут	V.N	,.т
подкинут	подкинутать	N.V	
подкинутать	подкинутый	V.ADJ	
кинуть	кинчик	V.N	,у.чик
кить	кина	V.N	,.ин
кить	ковой	V.ADJ	,.в
ковой	ково	ADJ.N	
ково	кованый	N.ADJ	,.ан
кве	квить	N.V	
квить	квит	V.N	,.ит
ково	сквить	N.V	ко.ск,
сквить	сквот	V.N	,.т
квант	квантить	N.V	
квантить	квантовый	V.ADJ	,.в
квантить	кванти	V.N	
кванти	квантовать	N.V	,.в
квантовать	квантованность	V.N	,.анност
квантование	квантованной	N.ADJ	,и.н
ково	ковский	N.ADJ	,.ск
ковский	ковы	ADJ.N	,ск.
ковы	кветь	N.V	ко.к,
кветь	квока	V.N	,.к
кветь	квок	V.N	,.к
ковы	ковный	N.ADJ	,.н
ковой	ково	ADJ.ADV	,
кить	кило	V.N	,.ил
кило	килять	N.V	
килять	киль	V.N	
киль	килеватый	N.ADJ	,.ват
килеватый	килеватость	ADJ.N	,.ст
киль	килевой	N.ADJ	,.в
килять	кил	V.N	
кило	килевый	N.ADJ	,.в
кить	килой	V.ADJ	,.ил
кить	китый	V.ADJ	,.ит
китый	китеть	ADJ.V	
скитаться	скиталец	V.N	,.алец
скиталец	скитальческий	N.ADJ	,ц.ьческ
кикеру	кикерить	N.V	,у.
килики	киликийский	N.ADJ	,.ийск
киликийскый	киликиец	ADJ.N	,йск.ц
киловаттный	киловатт	ADJ.N	,н.
килограммовый	килограмм	ADJ.N	,в.
килограмый	килограм	ADJ.N	
килограм	килограмовый	N.ADJ	,.в
килотонный	килотонна	ADJ.N	
килть	килла	V.N	,.л
килла	киллый	N.ADJ	
килть	килт	V.N	,.т
скилть	скила	V.N	
килы	килить	N.V	
кимаки	кимакский	N.ADJ	,.ск
кимберлит	кимберлитовый	N.ADJ	,.в
киммеры	киммерийский	N.ADJ	,.ийск
киммерийский	киммериец	ADJ.N	,йск.ц
кимо	кимый	N.ADJ	
кимчи	кимчи	V.N	,и.
кингисеппской	кингисепп	ADJ.N	,ск.
кингисеппской	кингисеппской	ADJ.N	
киндть	кинд	V.N	
киндть	киндло	V.N	,.л
кине	выкинить	N.V	.вы,
кине	кинать	N.V	
кино	кинить	N.V	
кинить	кинизм	V.N	,.изм
кинить	кинота	V.N	,.т
кинезис	кинетический	N.ADJ	,зис.тическ
кинетический	кинетика	ADJ.N	,еск.
кинематограф	кинематографический	N.ADJ	,.ическ
кинематограф	кинематографичный	N.ADJ	,.ичн
кинематографическый	кинематографист	ADJ.N	,ческ.ст
кинескопный	кинескоп	ADJ.N	,н.
кинестетить	кинестет	V.N	
кинестетика	кинестетический	N.ADJ	,.еск
кинестетический	кинестетически	ADJ.ADV	,.и
кинестетической	кинестетик	ADJ.N	,еск.
кинестетической	кинестетической	ADJ.N	
кинжальный	кинжал	ADJ.N	,ьн.
кинжальный	кинжальщик	ADJ.N	,н.щик
киноаппаратный	киноаппарат	ADJ.N	,н.
киноварь	киноварный	N.ADJ	,.н
киновед	киноведческий	N.ADJ	,.ческ
кинодива	кинодивый	N.ADJ	
киноконцерн	киноконцерный	N.ADJ	
киноконцерт	киноконцертный	N.ADJ	,.н
кинолентой	кинолента	ADJ.N	
кинология	кинологический	N.ADJ	,.ческ
кинолюбитеть	кинолюбитель	V.N	,.л
кинолюбитель	кинолюбительский	N.ADJ	,.ьск
кинолюбительский	кинолюбительство	ADJ.N	,к.тв
киноман	киноманский	N.ADJ	,.ск
кинопроекция	кинопроекционный	N.ADJ	,.нн
кинопроизводитеть	кинопроизводитель	V.N	,.л
кинопрокат	кинопрокатный	N.ADJ	,.н
кинопрокатный	кинопрокатчик	ADJ.N	,н.чик
кинороть	кинороль	V.N	,.л
кинотеатр	кинотеатральный	N.ADJ	,.альн
кинохроника	кинохроникальный	N.ADJ	,.альн
киношок	киношный	N.ADJ	,к.н
выкинутой	выкинутой	V.N	,й.
кинутой	кинутой	V.N	,й.
кинься	кин	V.N	,ься.
кин	кинический	N.ADJ	,.ическ
киотскый	киот	ADJ.N	,ск.
киот	киотский	N.ADJ	,.ск
кипа	закипеть	N.V	.за,
кипа	кипеть	N.V	
воскипеть	воскипение	V.N	,.ни
кипятить	кипячение	V.N	,т.чени
кипятить	кипятилка	V.N	,.илк
кипятить	кипяток	V.N	,.к
кипеть	кипение	V.N	,.ни
кипа	кипить	N.V	
кипить	кипот	V.N	,.т
кипа	прокипить	N.V	.про,
кипарисный	кипарис	ADJ.N	,н.
кипарис	кипарисовать	N.V	,.в
кипарисовать	кипарисовый	V.ADJ	
киперный	кипер	ADJ.N	,н.
кипер	киприть	N.V	,
кипи	кипучий	V.ADJ	,и.уч
кипиш	кипишевать	N.V	,.в
кипиш	кипишить	N.V	
кипр	кипрский	N.ADJ	,.ск
кипр	кипрской	N.ADJ	,.ск
кипрской	кипрской	ADJ.N	
кипрейный	кипрей	ADJ.N	,н.
киприотский	киприотка	ADJ.N	,ск.к
кипучый	кипучесть	ADJ.N	,.ст
кипятя	кипятиться	N.V	
кира	кирить	N.V	
кирить	кири	V.N	
кири	кирать	N.V	
кири	кирять	N.V	
кирка	киркин	N.ADJ	,.ин
кирасир	кирасирский	N.ADJ	,.ск
кираты	киральный	N.ADJ	,т.льн
киргиз-кайсаки	киргиз-кайсацкий	N.ADJ	,к.цк
киргизия	киргизский	N.ADJ	,и.ск
киргизский	киргиз	ADJ.N	,ск.
киргиз	киргизской	N.ADJ	,.ск
